@relation relation name
@attribute FIPS_COUNTY integer
@attribute FIPS_STATE integer
@attribute USUAL_FOOD_SPEND integer
@attribute TOTAL_FOOD_SPEND_LAST_WEEK integer
@attribute FOOD_WOULD_SPEND_MORE integer
@attribute FOOD_SPEND_INCREASE_WEEK integer
@attribute RECEIVED_SNAP integer
@data
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,100,120,3,-1,2
37,6,100,120,3,-1,2
37,6,100,120,3,-1,2
37,6,100,120,3,-1,2
37,6,30,30,3,-1,-1
37,6,80,60,2,-1,2
37,6,80,60,2,-1,2
37,6,30,30,2,-1,-1
37,6,200,200,2,-1,-1
37,6,200,200,2,-1,-1
37,6,200,200,2,-1,-1
37,6,180,280,2,-1,-1
37,6,180,280,2,-1,-1
37,6,130,290,2,-1,-1
37,6,130,290,2,-1,-1
37,6,150,290,2,-1,-1
37,6,150,290,2,-1,-1
37,6,60,100,2,-1,-1
37,6,60,100,2,-1,-1
37,6,60,100,2,-1,-1
37,6,130,0,1,150,2
37,6,130,0,1,150,2
37,6,30,340,2,-1,-1
37,6,200,150,2,-1,2
37,6,200,150,2,-1,2
37,6,160,200,2,-1,2
37,6,160,200,2,-1,2
37,6,160,200,2,-1,2
37,6,160,200,2,-1,2
37,6,160,200,2,-1,2
37,6,150,190,3,-1,-1
37,6,200,150,3,-1,1
37,6,200,150,3,-1,1
37,6,200,150,3,-1,1
37,6,200,150,3,-1,1
37,6,200,150,3,-1,1
37,6,200,150,3,-1,1
37,6,200,90,3,-1,2
37,6,200,90,3,-1,2
37,6,200,90,3,-1,2
37,6,50,30,3,-1,1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,300,300,2,-1,1
37,6,300,300,2,-1,1
37,6,300,300,2,-1,1
37,6,300,300,2,-1,1
37,6,300,300,2,-1,1
53,6,70,130,1,50,2
53,6,70,130,1,50,2
53,6,70,130,1,50,2
53,6,70,130,1,50,2
53,6,100,480,1,80,-1
53,6,100,480,1,80,-1
53,6,100,480,1,80,-1
53,6,100,480,1,80,-1
53,6,100,480,1,80,-1
59,6,300,400,2,-1,-1
59,6,300,400,2,-1,-1
59,6,300,400,2,-1,-1
59,6,300,400,2,-1,-1
59,6,300,400,2,-1,-1
59,6,150,240,2,-1,2
59,6,150,240,2,-1,2
59,6,150,240,2,-1,2
59,6,150,240,2,-1,2
59,6,-1,-1,-1,-1,-1
59,6,-1,-1,-1,-1,-1
59,6,-1,-1,-1,-1,-1
59,6,100,190,3,-1,1
59,6,100,190,3,-1,1
59,6,100,190,3,-1,1
59,6,250,250,3,-1,-1
59,6,250,250,3,-1,-1
59,6,250,250,3,-1,-1
59,6,180,300,3,-1,-1
59,6,180,300,3,-1,-1
59,6,180,300,3,-1,-1
59,6,80,140,2,-1,-1
59,6,300,400,3,-1,-1
59,6,300,400,3,-1,-1
59,6,-1,-1,-1,-1,-1
59,6,-1,-1,-1,-1,-1
59,6,90,250,1,80,2
59,6,90,250,1,80,2
59,6,90,250,1,80,2
59,6,90,250,1,80,2
59,6,90,90,3,-1,-1
59,6,120,120,2,-1,-1
59,6,120,120,2,-1,-1
61,6,80,100,3,-1,-1
61,6,180,370,2,-1,-1
61,6,180,370,2,-1,-1
61,6,200,650,3,-1,1
61,6,200,650,3,-1,1
61,6,200,650,3,-1,1
61,6,200,650,3,-1,1
61,6,200,650,3,-1,1
61,6,200,650,3,-1,1
61,6,110,90,1,60,2
61,6,110,90,1,60,2
61,6,130,130,2,-1,-1
61,6,130,130,2,-1,-1
61,6,100,100,3,-1,-1
61,6,100,100,3,-1,-1
61,6,100,100,3,-1,-1
67,6,130,100,2,-1,2
67,6,130,100,2,-1,2
67,6,130,100,2,-1,2
67,6,130,100,2,-1,2
67,6,130,100,2,-1,2
67,6,150,180,2,-1,-1
67,6,150,180,2,-1,-1
67,6,150,180,2,-1,-1
67,6,100,100,2,-1,-1
67,6,100,100,2,-1,-1
67,6,200,400,-2,-1,2
67,6,200,400,-2,-1,2
67,6,200,210,-2,-1,-1
67,6,200,210,-2,-1,-1
67,6,200,210,-2,-1,-1
67,6,10,90,2,-1,-1
67,6,10,90,2,-1,-1
67,6,130,90,2,-1,1
73,6,40,150,2,-1,-1
73,6,40,150,2,-1,-1
73,6,40,150,2,-1,-1
73,6,40,150,2,-1,-1
73,6,200,200,3,-1,2
73,6,200,200,3,-1,2
73,6,200,200,3,-1,2
73,6,200,200,3,-1,2
73,6,200,200,3,-1,2
73,6,200,200,3,-1,2
73,6,200,200,3,-1,2
73,6,210,170,2,-1,-1
73,6,210,170,2,-1,-1
73,6,210,220,2,-1,-1
73,6,190,190,2,-1,-1
73,6,190,190,2,-1,-1
73,6,190,190,2,-1,-1
73,6,190,190,2,-1,-1
73,6,-1,0,-1,-1,2
73,6,-1,330,-1,-1,-1
73,6,-1,330,-1,-1,-1
73,6,60,240,3,-1,-1
73,6,60,240,3,-1,-1
73,6,200,200,3,-1,-1
73,6,200,200,3,-1,-1
73,6,150,150,2,-1,-1
73,6,150,150,2,-1,-1
75,6,100,110,2,-1,-1
75,6,100,110,2,-1,-1
75,6,90,90,2,-1,-1
75,6,90,90,2,-1,-1
75,6,350,350,2,-1,-1
75,6,350,350,2,-1,-1
75,6,350,350,2,-1,-1
75,6,350,350,2,-1,-1
75,6,330,650,2,-1,-1
75,6,330,650,2,-1,-1
75,6,330,650,2,-1,-1
75,6,-1,-1,-1,-1,-1
75,6,-1,-1,-1,-1,-1
75,6,-1,-1,-1,-1,-1
75,6,100,440,3,-1,-1
75,6,150,220,2,-1,-1
75,6,160,160,2,-1,-1
75,6,160,160,2,-1,-1
75,6,200,220,2,-1,-1
75,6,200,220,2,-1,-1
77,6,100,160,1,130,2
79,6,40,60,3,-1,2
81,6,50,20,3,-1,2
81,6,50,20,3,-1,2
81,6,160,310,2,-1,-1
81,6,160,310,2,-1,-1
81,6,150,260,2,-1,-1
81,6,150,260,2,-1,-1
83,6,100,100,2,-1,-1
83,6,170,170,2,-1,-1
83,6,170,170,2,-1,-1
83,6,80,0,2,-1,-1
83,6,80,0,2,-1,-1
83,6,150,240,3,-1,2
83,6,150,240,3,-1,2
83,6,150,240,3,-1,2
83,6,150,240,3,-1,2
83,6,150,150,2,-1,-1
83,6,150,150,2,-1,-1
89,6,150,360,2,-1,-1
89,6,150,360,2,-1,-1
89,6,150,360,2,-1,-1
89,6,230,200,2,-1,2
89,6,230,200,2,-1,2
95,6,180,90,2,-1,-1
95,6,180,90,2,-1,-1
97,6,200,210,2,-1,-1
97,6,100,250,3,-1,2
97,6,100,250,3,-1,2
97,6,100,250,3,-1,2
97,6,100,250,3,-1,2
97,6,-1,-1,-1,-1,-1
97,6,60,60,3,-1,-1
99,6,250,200,2,-1,2
99,6,120,330,3,-1,-1
99,6,120,330,3,-1,-1
99,6,120,330,3,-1,-1
99,6,120,330,3,-1,-1
99,6,120,330,3,-1,-1
107,6,160,310,2,-1,2
107,6,160,310,2,-1,2
107,6,160,310,2,-1,2
107,6,160,310,2,-1,2
107,6,400,500,2,-1,-1
107,6,400,500,2,-1,-1
107,6,400,500,2,-1,-1
107,6,400,500,2,-1,-1
107,6,400,500,2,-1,-1
107,6,300,400,2,-1,-1
107,6,300,400,2,-1,-1
107,6,20,20,1,40,1
107,6,20,20,1,40,1
107,6,20,20,1,40,1
111,6,120,150,2,-1,-1
111,6,50,50,3,-1,-1
111,6,50,50,3,-1,-1
113,6,150,240,2,-1,-1
113,6,150,240,2,-1,-1
113,6,150,240,2,-1,-1
13,8,300,260,3,-1,-1
13,8,300,260,3,-1,-1
13,8,300,260,3,-1,-1
13,8,300,260,3,-1,-1
31,8,400,570,2,-1,2
31,8,400,570,2,-1,2
31,8,150,210,2,-1,-1
31,8,150,210,2,-1,-1
31,8,150,210,2,-1,-1
31,8,100,90,3,-1,-1
31,8,100,90,3,-1,-1
59,8,350,450,2,-1,2
59,8,350,450,2,-1,2
59,8,350,450,2,-1,2
59,8,350,450,2,-1,2
59,8,80,200,2,-1,-1
59,8,80,200,2,-1,-1
59,8,100,0,3,-1,-1
59,8,80,100,2,-1,-1
69,8,80,100,2,-1,-1
69,8,80,100,2,-1,-1
69,8,300,350,3,-1,-1
69,8,300,350,3,-1,-1
69,8,300,350,3,-1,-1
69,8,40,70,2,-1,2
123,8,40,40,1,20,2
123,8,30,40,3,-1,-1
123,8,100,230,2,-1,-1
123,8,100,230,2,-1,-1
123,8,230,220,2,-1,-1
123,8,230,220,2,-1,-1
123,8,230,220,2,-1,-1
123,8,230,220,2,-1,-1
123,8,230,220,2,-1,-1
123,8,230,220,2,-1,-1
123,8,150,190,3,-1,-1
123,8,150,190,3,-1,-1
123,8,150,360,1,200,2
1,9,200,170,2,-1,-1
1,9,200,170,2,-1,-1
1,9,-1,80,-1,-1,2
1,9,100,100,3,-1,-1
1,9,100,330,1,200,2
1,9,100,330,1,200,2
1,9,100,330,1,200,2
1,9,100,330,1,200,2
1,9,220,180,3,-1,-1
1,9,220,180,3,-1,-1
1,9,150,140,2,-1,-1
1,9,150,140,2,-1,-1
5,9,150,80,1,30,-1
5,9,150,80,1,30,-1
5,9,100,230,3,-1,-1
5,9,100,230,3,-1,-1
5,9,-1,-1,-1,-1,-1
5,9,-1,-1,-1,-1,-1
9,9,80,90,2,-1,-1
9,9,80,90,2,-1,-1
9,9,150,520,3,-1,-1
9,9,150,520,3,-1,-1
9,9,60,60,3,-1,-1
9,9,-1,-1,-1,-1,-1
9,9,-1,-1,-1,-1,-1
9,9,-1,-1,-1,-1,-1
9,9,-1,-1,-1,-1,-1
9,9,-1,-1,-1,-1,-1
9,9,100,130,3,-1,-1
9,9,100,130,3,-1,-1
9,9,100,130,3,-1,-1
9,9,100,130,3,-1,-1
9,9,120,120,2,-1,-1
9,9,210,140,2,-1,-1
9,9,210,140,2,-1,-1
9,9,210,140,2,-1,-1
9,9,180,100,2,-1,2
9,9,100,30,2,-1,-1
9,9,100,30,2,-1,-1
15,9,290,290,2,-1,-1
15,9,290,290,2,-1,-1
1,10,80,120,3,-1,-1
1,10,80,120,3,-1,-1
1,10,60,100,2,-1,-1
1,10,50,150,1,30,-1
1,10,50,150,1,30,-1
1,10,50,50,2,-1,-1
1,10,50,50,2,-1,-1
1,10,150,200,3,-1,-1
1,10,150,200,3,-1,-1
1,10,150,200,3,-1,-1
1,10,150,130,2,-1,2
1,10,150,130,2,-1,2
1,10,150,130,2,-1,2
1,10,250,250,2,-1,-1
1,10,250,250,2,-1,-1
1,10,250,250,2,-1,-1
1,10,80,80,3,-1,-1
1,10,80,80,3,-1,-1
1,10,-1,60,-1,-1,2
3,10,-1,-1,-1,-1,-1
3,10,-1,-1,-1,-1,-1
3,10,20,70,3,-1,-1
3,10,60,70,3,-1,-1
3,10,230,230,2,-1,-1
3,10,230,230,2,-1,-1
3,10,250,290,2,-1,-1
3,10,250,290,2,-1,-1
3,10,100,0,1,200,-1
3,10,100,0,1,200,-1
3,10,100,0,1,200,-1
3,10,130,120,2,-1,-1
3,10,130,120,2,-1,-1
3,10,30,70,3,-1,-1
3,10,30,70,3,-1,-1
3,10,-1,-1,-1,-1,-1
3,10,-1,-1,-1,-1,-1
3,10,-1,-1,-1,-1,-1
3,10,-1,-1,-1,-1,-1
3,10,-1,-1,-1,-1,-1
5,10,-1,0,-1,-1,-1
5,10,-1,0,-1,-1,-1
5,10,-1,0,-1,-1,-1
5,10,170,170,1,-1,2
5,10,170,170,1,-1,2
5,10,110,110,3,-1,-1
5,10,110,110,3,-1,-1
1,11,100,0,1,-1,-1
1,11,250,260,2,-1,-1
1,11,250,100,3,-1,-1
1,11,250,100,3,-1,-1
1,11,110,110,2,-1,-1
1,11,110,110,2,-1,-1
1,11,110,110,2,-1,-1
1,11,110,110,2,-1,-1
1,11,300,130,2,-1,-1
1,11,120,160,2,-1,-1
1,11,200,250,2,-1,2
1,11,150,100,3,-1,-1
1,11,150,100,3,-1,-1
1,11,150,180,2,-1,-1
1,11,150,180,2,-1,-1
1,11,-1,130,-1,-1,-1
1,11,200,70,3,-1,-1
1,11,200,70,3,-1,-1
1,11,60,60,3,-1,2
1,11,60,60,3,-1,2
1,11,130,300,2,-1,-1
1,11,130,300,2,-1,-1
1,11,20,20,1,20,-1
1,11,150,150,1,60,2
1,11,-1,-1,-1,-1,-1
1,11,70,80,3,-1,2
1,11,20,40,2,-1,-1
1,11,200,300,2,-1,2
1,11,130,110,2,-1,-1
1,11,90,0,1,40,1
1,11,90,0,1,40,1
1,11,180,180,2,-1,2
1,11,100,410,1,50,-1
1,11,100,410,1,50,-1
1,11,100,410,1,50,-1
1,11,150,100,2,-1,-1
1,11,350,300,2,-1,-1
1,11,350,300,2,-1,-1
1,11,150,500,1,50,-1
1,11,100,90,2,-1,-1
1,11,60,60,2,-1,-1
1,11,100,650,2,-1,-1
1,11,100,650,2,-1,-1
1,11,40,80,3,-1,-1
1,11,40,80,3,-1,-1
1,11,110,200,2,-1,-1
1,11,350,350,2,-1,-1
1,11,350,350,2,-1,-1
1,11,80,100,2,-1,2
1,11,200,300,3,-1,-1
1,11,90,100,2,-1,-1
1,11,130,110,2,-1,-1
1,11,60,60,2,-1,-1
1,11,100,150,2,-1,-1
5,12,190,160,1,30,1
5,12,190,160,1,30,1
5,12,190,160,1,30,1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,-1,-1,-1,-1,-1
5,12,300,300,3,-1,1
5,12,300,300,3,-1,1
5,12,300,300,3,-1,1
5,12,300,300,3,-1,1
5,12,130,210,2,-1,-1
5,12,130,210,2,-1,-1
5,12,130,130,2,-1,2
5,12,130,130,2,-1,2
5,12,130,130,2,-1,2
9,12,90,100,3,-1,2
9,12,300,300,2,-1,-1
9,12,300,300,2,-1,-1
9,12,300,300,2,-1,-1
9,12,300,300,2,-1,-1
9,12,90,150,1,50,1
9,12,90,150,1,50,1
9,12,90,150,1,50,1
11,12,100,90,2,-1,-1
11,12,80,80,2,-1,-1
11,12,80,260,1,80,2
11,12,80,260,1,80,2
11,12,80,260,1,80,2
11,12,80,30,2,-1,2
21,12,80,80,3,-1,2
21,12,200,190,2,-1,-1
21,12,200,190,2,-1,-1
21,12,300,200,2,-1,-1
21,12,300,200,2,-1,-1
33,12,100,170,3,-1,2
33,12,100,170,3,-1,2
33,12,100,170,3,-1,2
53,12,200,220,2,-1,-1
53,12,200,220,2,-1,-1
53,12,60,60,3,-1,2
57,12,350,310,2,-1,-1
57,12,350,310,2,-1,-1
57,12,300,300,2,-1,-1
57,12,300,300,2,-1,-1
57,12,300,300,2,-1,-1
57,12,300,300,2,-1,-1
57,12,300,300,2,-1,-1
57,12,150,290,3,-1,1
57,12,150,290,3,-1,1
57,12,150,290,3,-1,1
57,12,150,290,3,-1,1
57,12,150,290,3,-1,1
57,12,150,290,3,-1,1
57,12,150,290,3,-1,1
57,12,140,140,3,-1,2
57,12,140,140,3,-1,2
57,12,140,140,3,-1,2
57,12,140,140,3,-1,2
57,12,-1,-1,-1,-1,-1
57,12,-1,-1,-1,-1,-1
57,12,130,60,3,-1,2
57,12,130,60,3,-1,2
57,12,50,40,2,-1,2
57,12,50,0,3,-1,2
69,12,200,250,3,-1,-1
69,12,200,250,3,-1,-1
71,12,50,50,3,-1,-1
71,12,300,200,3,-1,2
71,12,300,200,3,-1,2
71,12,150,0,3,-1,2
71,12,150,0,3,-1,2
86,12,60,110,3,-1,2
86,12,60,110,3,-1,2
86,12,60,110,3,-1,2
86,12,60,110,3,-1,2
86,12,60,110,3,-1,2
86,12,180,400,3,-1,2
86,12,180,400,3,-1,2
86,12,180,400,3,-1,2
86,12,180,400,3,-1,2
86,12,180,400,3,-1,2
86,12,180,400,3,-1,2
86,12,450,450,3,-1,2
86,12,450,450,3,-1,2
86,12,450,450,3,-1,2
86,12,140,140,3,-1,2
86,12,140,140,3,-1,2
86,12,140,140,3,-1,2
86,12,250,650,2,-1,-1
86,12,250,650,2,-1,-1
86,12,180,380,3,-1,2
86,12,40,100,2,-1,-1
86,12,50,70,3,-1,2
86,12,100,80,2,-1,2
86,12,60,60,1,20,2
86,12,60,60,1,20,2
86,12,60,60,1,20,2
95,12,150,200,2,-1,-1
95,12,150,200,2,-1,-1
95,12,150,240,2,-1,-1
95,12,150,240,2,-1,-1
95,12,130,0,3,-1,2
95,12,130,0,3,-1,2
95,12,130,0,3,-1,2
95,12,-1,-1,-1,-1,-1
95,12,-1,-1,-1,-1,-1
95,12,-1,-1,-1,-1,-1
95,12,-1,-1,-1,-1,-1
95,12,-1,-1,-1,-1,-1
95,12,-1,-1,-1,-1,-1
99,12,60,110,3,-1,-1
99,12,60,110,3,-1,-1
99,12,-1,-1,-1,-1,-1
99,12,-1,-1,-1,-1,-1
99,12,-1,200,-1,-1,-1
99,12,250,260,2,-1,-1
99,12,250,260,2,-1,-1
99,12,100,430,2,-1,-1
99,12,100,430,2,-1,-1
99,12,250,150,3,-1,-1
99,12,250,150,3,-1,-1
99,12,60,60,3,-1,-1
99,12,40,40,2,-1,2
99,12,-1,30,-1,-1,-1
101,12,150,130,3,-1,-1
101,12,150,130,3,-1,-1
103,12,50,50,3,-1,-1
103,12,-1,-1,-1,-1,-1
103,12,40,80,3,-1,1
103,12,100,100,3,-1,-1
103,12,100,130,3,-1,-1
103,12,100,130,3,-1,-1
103,12,-1,-1,-1,-1,-1
103,12,-1,-1,-1,-1,-1
103,12,-1,-1,-1,-1,-1
105,12,200,190,2,-1,-1
105,12,200,190,2,-1,-1
105,12,200,190,2,-1,-1
105,12,200,190,2,-1,-1
105,12,200,190,2,-1,-1
105,12,200,190,2,-1,-1
105,12,110,190,3,-1,-1
105,12,70,50,2,-1,2
105,12,20,80,3,-1,-1
105,12,20,80,3,-1,-1
111,12,60,60,3,-1,2
111,12,80,170,1,50,-1
111,12,50,40,2,-1,2
111,12,80,250,3,-1,-1
111,12,80,250,3,-1,-1
113,12,130,100,2,-1,-1
113,12,130,100,2,-1,-1
113,12,130,100,2,-1,-1
113,12,130,100,2,-1,-1
57,13,60,80,2,-1,-1
57,13,60,80,2,-1,-1
57,13,300,320,2,-1,-1
57,13,300,320,2,-1,-1
57,13,190,190,2,-1,-1
57,13,190,190,2,-1,-1
57,13,190,190,2,-1,-1
63,13,-1,0,-1,-1,2
63,13,-1,0,-1,-1,2
63,13,-1,0,-1,-1,2
63,13,-1,0,-1,-1,2
63,13,-1,0,-1,-1,2
77,13,200,180,3,-1,2
77,13,200,180,3,-1,2
77,13,200,180,3,-1,2
135,13,500,630,2,-1,-1
135,13,500,630,2,-1,-1
135,13,500,630,2,-1,-1
135,13,500,630,2,-1,-1
