"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"000","01",100,200,1,200,1,2
"000","01",100,200,1,200,1,2
"000","01",100,200,1,200,1,2
"000","01",100,150,3,-1,2,2
"000","01",100,150,3,-1,2,2
"000","01",100,150,3,-1,2,2
"000","01",50,40,1,-1,-1,-1
"000","01",50,40,1,-1,-1,-1
"000","01",180,180,3,-1,-1,-1
"000","01",180,180,3,-1,-1,-1
"000","01",180,180,3,-1,-1,-1
"000","01",180,180,3,-1,-1,-1
"000","01",180,180,3,-1,-1,-1
"000","01",110,340,2,-1,2,3
"000","01",110,340,2,-1,2,3
"000","01",110,340,2,-1,2,3
"000","01",110,340,2,-1,2,3
"000","01",40,30,3,-1,2,3
"081","01",-1,10,-1,-1,-1,-1
"000","01",-1,280,-1,-1,-1,-1
"000","01",-1,280,-1,-1,-1,-1
"000","01",-1,280,-1,-1,-1,-1
"000","01",140,80,3,-1,-1,3
"000","01",320,370,2,-1,1,2
"000","01",320,370,2,-1,1,2
"000","01",90,290,2,-1,-1,-1
"000","01",90,290,2,-1,-1,-1
"000","01",80,140,3,-1,2,3
"000","01",80,140,3,-1,2,3
"097","01",150,150,2,-1,-1,-1
"097","01",150,150,2,-1,-1,-1
"000","01",60,50,1,50,-1,-1
"000","01",60,50,1,50,-1,-1
"000","01",220,280,3,-1,-1,-1
"000","01",220,280,3,-1,-1,-1
"000","01",220,280,3,-1,-1,-1
"000","01",220,280,3,-1,-1,-1
"000","01",220,280,3,-1,-1,-1
"000","02",-1,160,-1,-1,-1,-1
"000","02",-1,160,-1,-1,-1,-1
"000","02",80,10,3,-1,-1,-1
"000","02",150,200,3,-1,2,3
"000","02",120,120,3,-1,-1,-1
"000","02",120,120,3,-1,-1,-1
"000","02",400,300,2,-1,-1,-1
"000","02",400,300,2,-1,-1,-1
"000","02",400,300,2,-1,-1,-1
"000","02",400,300,2,-1,-1,-1
"000","02",100,220,2,-1,-1,-1
